"","aptnm","지번주소","위도","경도"
"347","올림픽훼밀리타운"," 문정동 150","37.4885199252165","127.114377260406"
"348","대림e-편한세상"," 행당동 347","37.5579017106154","127.02711847087"
"349","현대(관악)"," 봉천동 1000","37.4922662673536","126.958473250898"
"350","태헌(신월프라자)"," 신월동 128","37.5311154109633","126.833604656157"
"351","3RU-City"," 창천동 510-2","37.558819696499","126.927359353553"
"352","잠실엘스"," 잠실동 19","37.5129324772866","127.081460737023"
"353","길음뉴타운6단지(래미안)"," 길음동 1283","37.6062694708825","127.022893664052"
"354","중계그린1단지"," 중계동 502-1","37.6443713328952","127.063281683752"
"355","현대하이페리온"," 목동 916","37.5268543255661","126.875034766819"
"356","두산위브트레지움"," 미아동 811","37.6177643032662","127.01693069632"
"357","우장산아이파크,이편한세상"," 화곡동 1159","37.5493547358614","126.838765589968"
"358","길음뉴타운1단지(래미안길음1차)"," 길음동 1279","37.6058391908289","127.020250058627"
"359","한신휴플러스"," 본동 487","37.5090587317247","126.949798994942"
"360","한마을"," 개봉동 476","37.4952644521652","126.862501576596"
"361","상계주공1(고층)"," 상계동 765","37.647888818238","127.060796984294"
"362","쌍용"," 신정동 334","37.5172447842902","126.875553931104"
"363","DMC래미안e편한세상"," 북가좌동 481","37.5726489857162","126.910550761779"
"364","은평뉴타운 구파발(삼성래미안9단지)"," 진관동 25","37.6447082905283","126.920876918142"
"365","삼익선경"," 하계동 255-1","37.6390650104838","127.077028750266"
"366","금강(343)"," 오류동 343","37.4882786172515","126.832381753098"
"367","아크로리버파크"," 반포동 2-12","37.5054572291322","126.992771916234"
"368","현대아파트 101동"," 삼성동 6","37.5167880498618","127.04468074369"
"369","삼풍아파트"," 서초동 1685","37.4985439919823","127.015613076104"
"370","우성아파트2"," 방학동 508","37.6569741255456","127.021688802247"
"371","목동신시가지9"," 신정동 312","37.5185420579875","126.862404579736"
"372","보람1단지"," 상계동 639","37.6661826658174","127.064948745871"
"373","명인갤러리"," 역삼동 729-37","37.4985180939395","127.04250932141"
"374","장미"," 묵동 188-1","37.6059629146713","127.079485532548"
"375","한양2"," 쌍문동 59","37.6569864317375","127.031453992625"
"376","방배승원아트빌"," 방배동 970-13","37.4817202249634","126.987667642181"
"377","마곡엠밸리8단지"," 마곡동 741","37.5639536123299","126.819605455478"
"378","삼정"," 봉천동 180-261","37.4683429310898","126.968998368116"
